"SITECODE","AWSNO","SDATE","SHOUR","DRYTMP","NETRAD","RAIN","SOLAR","STMP10","STMP30","WDIR","WETTMP","WSPEED","ALBGRD","ALBSKY","SURWET","SWATER","SWATER_T","DRYTMP_RH","RH","SWATER_VWC","Year"
"T06",1,2001-01-01,1,3.76,1.8,0.6,0,1.81,3.49,161.7,3.45,4.6,0,0,0.5,NA,NA,NA,NA,NA,2001
"T06",1,2001-01-01,2,4.75,2.3,0.4,0,1.95,3.5,171,4.51,3.5,0,0,25.5,NA,NA,NA,NA,NA,2001
"T06",1,2001-01-01,3,5.63,2.4,0,0,2.05,3.53,173.9,5.42,3.58,0,0,60,NA,NA,NA,NA,NA,2001
"T06",1,2001-01-01,4,6.62,1.5,0.4,0,2.15,3.48,178.6,6.33,4.89,0,0,59.3,NA,NA,NA,NA,NA,2001
"T06",1,2001-01-01,5,7.13,1.1,0.2,0,2.35,3.45,179,6.92,4.34,0,0,60,NA,NA,NA,NA,NA,2001
"T06",1,2001-01-01,6,7.68,-0.3,1.2,0,2.53,3.52,181.2,7.41,4.55,0,0,47.3,NA,NA,NA,NA,NA,2001
"T06",1,2001-01-01,7,7.99,-0.5,0.8,0,2.7,3.52,183.9,7.71,4.16,0,0,29.7,NA,NA,NA,NA,NA,2001
"T06",1,2001-01-01,8,8.25,-1.3,1.4,0,2.85,3.53,194.7,7.95,4.1,0,0,6.2,NA,NA,NA,NA,NA,2001
"T06",1,2001-01-01,9,8.07,-3.9,0.2,3.9,3.07,3.57,201.2,7.56,4.23,0.5,5.8,18.8,NA,NA,NA,NA,NA,2001
"T06",1,2001-01-01,10,7.79,12.5,0.2,39.7,3.24,3.66,202.8,7.36,2.53,8.3,39.7,55.8,NA,NA,NA,NA,NA,2001
"T06",1,2001-01-01,11,8.43,103.8,0.2,191.3,3.44,3.7,193.5,7.71,3.72,41.5,159.6,0,NA,NA,NA,NA,NA,2001
